127.0.0.1 - - [19/Dec/2022:11:42:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:55 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 17175
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:55 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38257
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:55 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:47 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:47 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38260
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:47 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:57 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:57 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:56:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:58:42 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:58:42 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:59:24 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:59:24 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:11 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:11 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:11 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:35 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:35 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:50 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:00:51 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:01:12 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:01:12 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38289
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:03:23 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:03:23 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38318
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:01 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:01 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:01 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:18 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:18 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:30 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:04:30 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:25 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6380
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:25 +0900] "GET /yh/resources/js/login.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:25 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:25 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:25 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:25 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 200 8758
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:08:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:09:58 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:09:58 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:09:58 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:10:24 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:10:24 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:10:46 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:10:46 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:10:46 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:05 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:05 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:16 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:16 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:19 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:19 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /yh/resources/js/login.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 200 8758
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /yh/resources/js/login.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 200 8758
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:50 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:50 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:50 +0900] "GET /yh/resources/js/login.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:50 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:50 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:11:50 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 200 8758
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:03 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:03 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /yh/resources/js/login.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 200 8758
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:13 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:13 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:12:19 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:13:59 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:13:59 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:13:59 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:14:54 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:14:54 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:14:54 +0900] "GET /yh/resources/img/btn_google_signin_dark_focus_web@2x.png HTTP/1.1" 200 8513
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:31 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:31 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:31 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/js/login.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 200 8758
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/img/btn_google_signin_dark_focus_web@2x.png HTTP/1.1" 200 8513
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:15:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:13 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:13 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:13 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:13 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:13 +0900] "GET /yh/resources/img/kakao_login_large_wide%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:13 +0900] "GET /yh/resources/img/btn_google_signin_dark_focus_web@2x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:34 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:34 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:48 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:23:48 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:25:16 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:25:16 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:25:16 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:25:16 +0900] "GET /yh/resources/img/btn_google_signin_light_focus_web@2x.png HTTP/1.1" 200 8664
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:25:38 +0900] "GET /yh/resources/views/login.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:25:38 +0900] "GET /yh/resources/css/login.css HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:03 +0900] "GET /yh/resources/views/profile_update.jsp HTTP/1.1" 200 6711
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:03 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:03 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4128
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:03 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:20 +0900] "GET /yh/resources/views/profile_update.jsp HTTP/1.1" 200 6718
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:20 +0900] "GET /yh/resources/css/profile_update.css HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:30:37 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:32:30 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:32:32 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:33:04 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:33:04 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:33:33 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:02 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:02 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:02 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38262
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:02 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:19 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:19 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:53 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:53 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:59 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:34:59 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:35:14 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:35:14 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:38:43 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:38:43 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:38:43 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:39:08 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:39:08 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:39:22 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:39:22 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:39:34 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:39:34 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:00 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:00 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:09 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:09 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:12 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:48 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:48 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:40:48 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:41:16 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:41:16 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:44:19 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:44:19 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:44:19 +0900] "GET /yh/resources/css/profile.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [19/Dec/2022:12:44:32 +0900] "GET /yh/resources/views/profile_offsale.jsp HTTP/1.1" 200 9873
